"state" "year" "stateabb" "statefips" "total" "dem" "rep" "st.income" "state.1" "year.1" "st.pop" "inc.pop" "st.repshare" "z.st.inc" "z.st.pop" "z.st.inc.pop"
"1" "Alabama" 1952 "AL" 1 426 275 149 3394166 "Alabama" 1952 3068000 1.10631225554107 0.351415094339623 -0.156278843178481 -0.0067308647075488 -0.764112102836858
"2" "Alabama" 1956 "AL" 1 497 281 196 4163905 "Alabama" 1956 3071000 1.35587919244546 0.410901467505241 -0.153886871192405 -0.0392486875495447 -0.660451466472376
"3" "Alabama" 1960 "AL" 1 564 318 238 5099621 "Alabama" 1960 3274000 1.5576117898595 0.428057553956835 -0.149717847585421 -0.0410144619860924 -0.68776907998447
"4" "Alabama" 1964 "AL" 1 690 0 479 6417280 "Alabama" 1964 3395000 1.89021502209131 1 -0.147685449933099 -0.0506280416244283 -0.66642659418462
"5" "Alabama" 1968 "AL" 1 1050 197 147 8669488 "Alabama" 1968 3446000 2.51581195589089 0.427325581395349 -0.155311479152958 -0.0617143371101473 -0.701599122684385
"6" "Alabama" 1972 "AL" 1 1006 257 729 12544360 "Alabama" 1972 3540080 3.54352444012565 0.739350912778905 -0.152263577812029 -0.0713415873840522 -0.726983390151012
"7" "Alabama" 1976 "AL" 1 1183 659 504 19892863 "Alabama" 1976 3737204 5.32292671205532 0.433361994840929 -0.138271556506695 -0.0660390432997253 -0.541295597972355
"8" "Alabama" 1980 "AL" 1 1342 637 654 30780664 "Alabama" 1980 3900368 7.89173329285852 0.506584043377227 -0.142971340930677 -0.0667063096063127 -0.635060101215678
"9" "Alabama" 1984 "AL" 1 1442 552 873 42680999 "Alabama" 1984 3951824 10.8003289114090 0.612631578947368 -0.145792639138632 -0.0752625289586501 -0.621253202254163
"10" "Alabama" 1988 "AL" 1 1378 550 816 55698852 "Alabama" 1988 4023842 13.8422065279899 0.597364568081991 -0.142649228885484 -0.0804483714262803 -0.475250675524213
"11" "Alabama" 1992 "AL" 1 1688 690 804 72281825 "Alabama" 1992 4154014 17.40047698443 0.538152610441767 -0.136709688474128 -0.0853630004726646 -0.447126061507186
"12" "Alabama" 1996 "AL" 1 1534 662 769 87221379 "Alabama" 1996 4331102 20.1383802551868 0.53738644304682 -0.143280605119201 -0.0889061528964216 -0.487381934494475
"13" "Alabama" 2000 "AL" 1 1666 693 941 105796293 "Alabama" 2000 4451493 23.7664740795953 0.575887392900857 -0.155346135979929 -0.0950380255418704 -0.509705980485368
"14" "Alabama" 2004 "AL" 1 1870 694 1176 105796296 "Alabama" 2004 4451493 23.7664747535265 0.628877005347594 -0.155346127914099 -0.0950380267472505 -0.509705917420118
"17" "Alaska" 1960 "AK" 2 61 30 31 665628 "Alaska" 1960 229000 2.90667248908297 0.508196721311475 -0.367516904479475 -0.443700464267808 0.918870066434915
"18" "Alaska" 1964 "AK" 2 67 44 23 861540 "Alaska" 1964 263000 3.2758174904943 0.343283582089552 -0.365575279535564 -0.436680109520687 0.843417325064827
"19" "Alaska" 1968 "AK" 2 83 35 38 1213650 "Alaska" 1968 285000 4.25842105263158 0.52054794520548 -0.369184378613331 -0.43352004650478 0.831428409006063
"20" "Alaska" 1972 "AK" 2 95 33 55 1938932 "Alaska" 1972 326494 5.93864512058415 0.625 -0.378665552497376 -0.434937153629897 1.07606024896022
"21" "Alaska" 1976 "AK" 2 124 44 72 4736191 "Alaska" 1976 393115 12.0478511377078 0.620689655172414 -0.361698181812789 -0.434138906822913 2.42577569616955
"22" "Alaska" 1980 "AK" 2 158 42 86 6001511 "Alaska" 1980 405315 14.8070291008228 0.671875 -0.373915156843303 -0.435975552225424 1.67752135371095
"23" "Alaska" 1984 "AK" 2 208 62 138 9958123 "Alaska" 1984 513704 19.3849434693909 0.69 -0.359695811466947 -0.419357435137405 1.57285576008416
"24" "Alaska" 1988 "AK" 2 200 73 119 10775751 "Alaska" 1988 541984 19.8820463334711 0.619791666666667 -0.362726134957059 -0.408626630441652 0.622422366184126
"25" "Alaska" 1992 "AK" 2 259 78 102 14038718 "Alaska" 1992 588736 23.8455232905751 0.566666666666667 -0.364858928734273 -0.40096683156019 0.650449033918652
"26" "Alaska" 1996 "AK" 2 242 80 123 15762411 "Alaska" 1996 608569 25.9007787120277 0.605911330049261 -0.380450049396753 -0.405508703402305 0.41053646423571
"27" "Alaska" 2000 "AK" 2 286 79 167 18773434 "Alaska" 2000 627601 29.9130084241421 0.678861788617886 -0.374319862045872 -0.403127065129454 0.187319678477246
"28" "Alaska" 2004 "AK" 2 302 111 191 18773434 "Alaska" 2004 627601 29.9130084241421 0.632450331125828 -0.374319863212026 -0.403127054571224 0.187319705340483
"29" "Arizona" 1952 "AZ" 4 261 109 152 1445129 "Arizona" 1952 842000 1.71630522565321 0.582375478927203 -0.304327572914606 -0.35291628150523 0.0534265748882602
"30" "Arizona" 1956 "AZ" 4 290 113 177 1947752 "Arizona" 1956 1053000 1.84971699905033 0.610344827586207 -0.286363092572432 -0.326865259105145 -0.0340696053852843
"31" "Arizona" 1960 "AZ" 4 398 177 221 2719385 "Arizona" 1960 1321000 2.05858062074186 0.555276381909548 -0.266635748895882 -0.299288932415055 -0.0911494206208472
"32" "Arizona" 1964 "AZ" 4 481 238 243 3593744 "Arizona" 1964 1556000 2.30960411311054 0.505197505197505 -0.25842133352672 -0.2773042079275 -0.209432554902371
"33" "Arizona" 1968 "AZ" 4 487 171 267 5200358 "Arizona" 1968 1682000 3.09177051129608 0.60958904109589 -0.254824490528066 -0.26920097784793 -0.194910431456808
"34" "Arizona" 1972 "AZ" 4 654 199 403 9012882 "Arizona" 1972 2008847 4.48659454901244 0.669435215946844 -0.2276526703369 -0.244590266488742 -0.0170414757674883
"35" "Arizona" 1976 "AZ" 4 743 296 419 14262258 "Arizona" 1976 2347976 6.07427759057162 0.586013986013986 -0.221273093623921 -0.218958010827979 -0.20979572044656
"36" "Arizona" 1980 "AZ" 4 874 247 530 26255013 "Arizona" 1980 2737774 9.58991246172986 0.682110682110682 -0.185150793611275 -0.189539985048008 -0.067162825071443
"37" "Arizona" 1984 "AZ" 4 1026 334 681 39521499 "Arizona" 1984 3067134 12.8854816907250 0.670935960591133 -0.166445685434787 -0.163804325797412 -0.0883169393571965
"38" "Arizona" 1988 "AZ" 4 1172 454 703 55836700 "Arizona" 1988 3535183 15.7945713135642 0.607605877268799 -0.141973915724263 -0.126506326653688 -0.120430305824873
"39" "Arizona" 1992 "AZ" 4 1487 543 572 70119915 "Arizona" 1992 3915740 17.9071937871258 0.513004484304933 -0.145178297884179 -0.106455377350021 -0.360833470786395
"40" "Arizona" 1996 "AZ" 4 1404 653 622 95787251 "Arizona" 1996 4586940 20.8826038709902 0.487843137254902 -0.114850820043202 -0.0671470541009713 -0.371414237639686
"41" "Arizona" 2000 "AZ" 4 1532 685 782 130981603 "Arizona" 2000 5165274 25.3581132385233 0.533060668029993 -0.0919728885803482 -0.0375290522848159 -0.329211856253112
"42" "Arizona" 2004 "AZ" 4 1998 894 1104 130981600 "Arizona" 2004 5165274 25.3581126577215 0.552552552552553 -0.0919728951250665 -0.0375290556860323 -0.329211925060712
"43" "Arkansas" 1952 "AR" 5 405 226 177 1887122 "Arkansas" 1952 1838000 1.02672578890098 0.439205955334988 -0.270753812025378 -0.198019302560715 -0.870777290617287
"44" "Arkansas" 1956 "AR" 5 407 213 186 2095308 "Arkansas" 1956 1704000 1.22964084507042 0.466165413533835 -0.277542554765724 -0.234081122295088 -0.820571671753865
"45" "Arkansas" 1960 "AR" 5 429 215 185 2514153 "Arkansas" 1960 1789000 1.40533985466741 0.4625 -0.276716805867438 -0.237398275906732 -0.869114554003143
"46" "Arkansas" 1964 "AR" 5 560 314 243 3370351 "Arkansas" 1964 1897000 1.77667422245651 0.436265709156194 -0.267182553940991 -0.235272357623342 -0.790148144791345
"47" "Arkansas" 1968 "AR" 5 610 185 189 4581320 "Arkansas" 1968 1902000 2.40868559411146 0.505347593582888 -0.272581777091448 -0.243323959161812 -0.795841521788612
"48" "Arkansas" 1972 "AR" 5 648 199 446 6892768 "Arkansas" 1972 2018116 3.41544688214156 0.691472868217054 -0.272912323804732 -0.243541541698575 -0.823400004194817
"49" "Arkansas" 1976 "AR" 5 769 500 269 11178617 "Arkansas" 1976 2168688 5.15455289096449 0.349804941482445 -0.266729477603564 -0.238693098121214 -0.615582995067546
"50" "Arkansas" 1980 "AR" 5 838 398 403 17362742 "Arkansas" 1980 2288738 7.58616407819506 0.503121098626717 -0.268027516510931 -0.236982808841729 -0.737247154185034
"51" "Arkansas" 1984 "AR" 5 884 339 535 24496352 "Arkansas" 1984 2319767 10.5598329487401 0.612128146453089 -0.264662193299171 -0.238602522994164 -0.682720650039269
"52" "Arkansas" 1988 "AR" 5 828 349 467 30492638 "Arkansas" 1988 2342655 13.0162734162734 0.572303921568627 -0.26613370496602 -0.238906591933629 -0.625354741225216
"53" "Arkansas" 1992 "AR" 5 951 506 337 39322417 "Arkansas" 1992 2415984 16.2759426386930 0.399762752075919 -0.265817908861892 -0.239216059489395 -0.638631418211162
"54" "Arkansas" 1996 "AR" 5 884 475 325 48700322 "Arkansas" 1996 2572109 18.9340039632846 0.40625 -0.271130445907188 -0.238509036234728 -0.675052335906853
"55" "Arkansas" 2000 "AR" 5 922 423 473 59205023 "Arkansas" 2000 2678030 22.1076772851686 0.527901785714286 -0.272582734630916 -0.237925040241583 -0.697815875250078
"56" "Arkansas" 2004 "AR" 5 1043 470 573 59205024 "Arkansas" 2004 2678030 22.1076776585774 0.549376797698945 -0.272582732498785 -0.23792503599118 -0.697815857119609
"57" "California" 1952 "CA" 6 5342 2258 3036 25681935 "California" 1952 11635000 2.20729995702621 0.57347941065357 1.53669870886501 1.32560088089251 0.711478721592337
"58" "California" 1956 "CA" 6 5466 2420 3028 34209973 "California" 1956 13713000 2.49471107708014 0.555800293685756 1.64219379470356 1.47750827701671 0.784038254286384
"59" "California" 1960 "CA" 6 6507 3224 3260 44793889 "California" 1960 15870000 2.82255129174543 0.502776064157927 1.80007642013214 1.62474346403706 0.818687466227264
"60" "California" 1964 "CA" 6 7058 4172 2879 59422044 "California" 1964 18151000 3.27376144565038 0.408310877889661 1.93110135363922 1.76820475335552 0.841176922874382
"61" "California" 1968 "CA" 6 7252 3244 3468 81589449 "California" 1968 19394000 4.2069428173662 0.51668653158522 1.9364189859681 1.81413427200899 0.78614140109805
"62" "California" 1972 "CA" 6 8368 3476 4602 112211232 "California" 1972 20584794 5.4511709954445 0.569695469175538 1.97539941056635 1.85715276077669 0.709090380704523
"63" "California" 1976 "CA" 6 7867 3742 3882 171411827 "California" 1976 21934505 7.81471143296828 0.509181532004197 2.09529071866793 1.93702487473307 0.558092655135773
"64" "California" 1980 "CA" 6 8587 3084 4525 286288598 "California" 1980 23800800 12.0285283687943 0.594690498094362 2.23838436052979 2.03587051896628 0.748347903460429
"65" "California" 1984 "CA" 6 9505 3923 5467 411615869 "California" 1984 25844397 15.9266965679253 0.582215122470713 2.26586393638775 2.11579620443243 0.688975596422143
"66" "California" 1988 "CA" 6 9887 4702 5055 561121088 "California" 1988 28464250 19.7131871733842 0.518089576714154 2.3333989397095 2.22315233459486 0.591734110561064
"67" "California" 1992 "CA" 6 11132 5121 3631 701571581 "California" 1992 30974659 22.6498564842958 0.414876599634369 2.32833702915535 2.28884128717012 0.446829998978862
"68" "California" 1996 "CA" 6 10019 5120 3828 812404210 "California" 1996 32018834 25.3726981438487 0.427805096110863 2.2635720802973 2.26594377561284 0.328248982429085
"69" "California" 2000 "CA" 6 10966 5861 4567 1099374588 "California" 2000 34000446 32.3341225582747 0.437955504411201 2.34477330268844 2.28570613527351 0.461877434144012
"70" "California" 2004 "CA" 6 12255 6745 5510 1099374592 "California" 2004 34000448 32.3341207739380 0.449612403100775 2.3447733324878 2.28570620430434 0.461877274504647
"71" "Colorado" 1952 "CO" 8 630 246 380 2566805 "Colorado" 1952 1365000 1.88044322344322 0.60702875399361 -0.219125133466049 -0.271579815653843 0.273411342340629
"72" "Colorado" 1956 "CO" 8 663 264 394 3184701 "Colorado" 1956 1625000 1.959816 0.598784194528875 -0.212421298138653 -0.245340641201377 0.10557951867188
"73" "Colorado" 1960 "CO" 8 736 331 402 4138721 "Colorado" 1960 1769000 2.33958224985868 0.548431105047749 -0.196917541804491 -0.240043175757515 0.243504326098307
"74" "Colorado" 1964 "CO" 8 777 476 297 5197454 "Colorado" 1964 1970000 2.63830152284264 0.384217335058215 -0.195525643909897 -0.226274336883742 0.148737841494987
"75" "Colorado" 1968 "CO" 8 811 335 409 7168431 "Colorado" 1968 2120000 3.38133537735849 0.549731182795699 -0.198369739384107 -0.217682186100113 0.0598288056527727
"76" "Colorado" 1972 "CO" 8 954 330 597 11519753 "Colorado" 1972 2404576 4.79076269579335 0.644012944983819 -0.17413662697859 -0.199816201056884 0.211935897584983
"77" "Colorado" 1976 "CO" 8 1081 460 584 18148268 "Colorado" 1976 2632244 6.89459943683032 0.559386973180077 -0.163988875808444 -0.187667273050363 0.152134503290568
"78" "Colorado" 1980 "CO" 8 1184 368 652 31442298 "Colorado" 1980 2908803 10.8093597263204 0.63921568627451 -0.136804855712335 -0.171469944537634 0.340639126958616
"79" "Colorado" 1984 "CO" 8 1295 455 822 46761864 "Colorado" 1984 3169995 14.7513999233437 0.643696162881754 -0.119116806325417 -0.153509761865829 0.388586000143183
"80" "Colorado" 1988 "CO" 8 1372 621 728 56387207 "Colorado" 1988 3262280 17.2846006474000 0.539659006671609 -0.139276998667474 -0.152228464495057 0.150365788737409
"81" "Colorado" 1992 "CO" 8 1569 630 563 74206964 "Colorado" 1992 3495939 21.2266186566756 0.471919530595138 -0.12916855574841 -0.143616800356691 0.204456194313657
